기준_년월_코드,시군구_코드,시군구_코드_명,신규_창업_위험_지수_구간_코드,신규_창업_위험_지수_구간_코드_명,폐업신고율,3년 간 개업 대비 폐업신고율,평균 폐업기간,점포증감률,신규_창업_위험_지수_값,총생활인구수,스타벅스 수,은행수
201806,11680,강남구,3,의심,2.9,99.7,2.9,-0.1,46.1,586993079.7,73,316
201806,11740,강동구,2,위험,3,106.6,3,-1.8,50.5,350010264.9,10,62
201806,11305,강북구,3,의심,3.5,101.1,3,-1.7,49.4,222811121.6,5,29
201806,11500,강서구,2,위험,3.4,90,2.9,2.4,56,396080881.5,14,67
201806,11620,관악구,3,의심,3.3,100.2,3,-1.1,41.4,365562233.4,9,47
201806,11215,광진구,3,의심,3.4,101.2,3.1,-1.1,48.7,283016457.1,13,56
201806,11530,구로구,2,위험,3.4,99.1,3,-0.5,58.7,290687072.1,10,68
201806,11545,금천구,2,위험,3.4,103.8,3.1,-1.8,54.8,161943957.3,10,55
201806,11350,노원구,3,의심,3.1,99.3,3,-0.2,49.8,381473559.4,10,59
201806,11320,도봉구,2,위험,3.5,100.4,3,-0.4,57.4,215708708.8,1,30
201806,11230,동대문구,3,의심,2.9,102.4,3,-0.4,46.5,272898550.1,9,58
201806,11590,동작구,2,위험,3.1,99,3.1,-0.3,53.5,298056066.2,8,51
201806,11440,마포구,2,위험,3.3,87.6,3,0.7,53.7,340214341.9,32,92
201806,11410,서대문구,2,위험,2.8,97.5,3.1,-1.5,50.9,280524275,20,54
201806,11650,서초구,3,의심,2.6,101.1,3.1,-0.5,47,440302486.9,45,190
201806,11200,성동구,2,위험,3,87.6,3,2.3,59.2,250705268.4,9,56
201806,11290,성북구,2,위험,3,100.8,3.1,-1.2,55.1,318749257.8,12,60
201806,11710,송파구,2,위험,3.3,94.9,3,0.6,59.6,542995543.1,28,144
201806,11470,양천구,2,위험,2.9,104.2,3,-1,51.6,289885268,14,64
201806,11560,영등포구,2,위험,2.9,101.7,3.1,-1.3,52.5,349441265.5,33,135
201806,11170,용산구,1,고위험,2.8,100.4,3.2,0,61,217405012.3,17,74
201806,11380,은평구,3,의심,2.8,97.8,3,-1,44.7,324628382.9,8,40
201806,11110,종로구,2,위험,2.8,101,3.2,-0.2,56.7,235533558.1,37,126
201806,11140,중구,4,주의,2.4,116.7,3.3,-1.9,39.7,212804093.1,49,191
201806,11260,중랑구,3,의심,3.3,100.8,3,-1.5,47.8,262189696.2,6,32
